dataset,sample,curated_smiles,inchi_keys,structure_group,copy_class,copy_ID
AChE,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,ALWKGYPQUAPLQC-UHFFFAOYSA-N,0,1,CHEMBL54126
AChE,1,O=C(CCCCC1CCSS1)NCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,QVGXTQPZHCDXRZ-UHFFFAOYSA-N,10,1,CHEMBL194823
AChE,2,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)CC1)C2,JLXTZNCTOFGHRK-UHFFFAOYSA-N,0,1,CHEMBL3216655
AChE,3,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,DNSUFPJFKSCBRT-UHFFFAOYSA-N,0,1,CHEMBL340427
AChE,4,CCC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=N)c3C(C1)C2,QTPHSDHUHXUYFE-UHFFFAOYSA-N,0,1,CHEMBL208599
AChE,5,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=N)c3C(C1)C2,UKCBMHDZLYYTMI-UHFFFAOYSA-N,1,1,CHEMBL140476
AChE,6,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,QKVHGMOFMMASRA-UHFFFAOYSA-N,0,1,CHEMBL543655
AChE,7,Oc1cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)[nH]oc3cc2n1,CGRDKCRDYNTJEL-UHFFFAOYSA-N,0,1,CHEMBL329012
AChE,8,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)c3C(C1)C2,XXFJVXFGCDTSND-UHFFFAOYSA-N,0,1,CHEMBL534932
AChE,9,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCN=c4c5c([nH]c6cc(Cl)ccc46)CCCC5)c3C(C1)C2,GCPORJYZTJZXFH-UHFFFAOYSA-N,17,1,CHEMBL538573
AChE,10,CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)c3C(C1)C2,DBUWWODVSCMGDY-UHFFFAOYSA-N,13,1,CHEMBL557155
