n,SMILE,class
0,CCCCCCCCOCCCOP(=O)(O)CCCC(=O)N(C)O,0.0
1,CCN(CCCO[N+](=O)[O-])Cc1cc(N=c2cc[nH]c3cc(Cl)ccc23)ccc1O,1.0
2,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2NC2CCCCC2)C1,0.0
3,CC(C)(C)NCc1cc(Cl)cc(N=c2[nH]c3ccccc3[nH]2)c1O,1.0
4,ClC(Cl)(Cl)c1nc(N2CCCC2)c2ccccc2n1,0.0
5,Cc1ccc2c(n1)C(=O)C(Br)=C(N1CCN(c3ccccc3)CC1)C2=O,0.0
6,CCN(CC)Cc1c(O)ccc2c1OC(=Cc1ccccc1)C2=O,0.0
7,OC(CNCCF)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,0.0
8,COC(=O)c1ccc(-c2c(C#N)[n+]([O-])c3cc(C)ccc3[n+]2[O-])cc1,0.0
9,O=C1OC(c2ccc(F)cc2)CC23OOC4(C=C12)CCCCC4O3,0.0
10,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(CCCNCc2cccnc2)C(C)C(O)C1(C)O,0.0
11,COc1cc(-c2nn(-c3ccccc3)[n+](-c3ccc([N+](=O)[O-])cc3)n2)cc(OC)c1OC(C)=O,0.0
12,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,0.0
13,Cc1ccc(OC2(C(=O)N(C)Cc3ccoc3)CCNCC2)cc1,1.0
14,C=C(C)C1CC=C(CO)CC1,0.0
15,COc1ccc(C=CC(=O)CC(=O)C=Cc2ccc(OC)c(OC)c2)cc1OC,0.0
16,O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccoc1,0.0
17,CCOP(=O)(NC(C)C)Oc1ccc([N+](=O)[O-])cc1C,0.0
18,COc1ccc(CC(=O)NC2CNCC2c2ccc(C(F)(F)F)cc2)cc1,1.0
19,O=S(=O)(NCCCCN=c1cc[nH]c2cc(Cl)ccc12)c1ccc(F)cc1,1.0
20,COc1cccc(CN2CCCN(Cc3cccc(OC)c3O)C2c2ccc(N(CCCl)CCCl)cc2C)c1O,0.0
21,O=C(Cc1ncc(O)cn1)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2,1.0
